Step,with residual,wo residual
370,-0.979337573,-0.872476339
372,-0.978322029,-0.871412992
373,-0.978686035,-0.868967175
374,-0.978884339,-0.870855093
376,-0.979550362,-0.871210337
377,-0.980390072,-0.87068069
379,-0.977962255,-0.869240105
381,-0.978886485,-0.876920819
382,-0.978487372,-0.876761317
385,-0.980861604,-0.866494179
386,-0.979832172,-0.877983809
389,-0.977930903,-0.870607018
393,-0.978576779,-0.873057604
395,-0.97808212,-0.874363959
396,-0.97941941,-0.87630403
397,-0.97907275,-0.875988305
398,-0.980361938,-0.878871799
399,-0.979483426,-0.883302331
404,-0.980071008,-0.87866509
406,-0.980436087,-0.881492972
407,-0.978785515,-0.882816195
408,-0.979530096,-0.878618479
409,-0.977704346,-0.880203664
410,-0.979575396,-0.877149701
413,-0.980185688,-0.883589268
414,-0.979320288,-0.879784703
415,-0.980018735,-0.880166531
418,-0.978082538,-0.884769082
421,-0.980022073,-0.882908702
422,-0.979775429,-0.885288239
424,-0.979577303,-0.883893609
426,-0.979003131,-0.878314495
427,-0.978408337,-0.883940339
429,-0.979008436,-0.877399683
430,-0.977913022,-0.881730735
431,-0.978394926,-0.884323657
433,-0.981007338,-0.881092906
434,-0.979916334,-0.885057509
435,-0.979837,-0.883363545
437,-0.980149508,-0.886935651
440,-0.980894208,-0.889286399
441,-0.979068339,-0.889186084
445,-0.979785264,-0.882296205
447,-0.977100372,-0.885677099
451,-0.978658319,-0.887669265
452,-0.978037,-0.889799178
453,-0.980599761,-0.891567349
454,-0.979884744,-0.887625694
455,-0.980232835,-0.889588237
457,-0.978417099,-0.886363566
459,-0.979185343,-0.890466273
461,-0.979656458,-0.888137877
465,-0.980165362,-0.886206865
468,-0.979569912,-0.891077936
469,-0.979737997,-0.886492312
471,-0.978679299,-0.888778329
472,-0.979651511,-0.890484214
473,-0.979553103,-0.893977404
474,-0.979469776,-0.892226517
477,-0.981104672,-0.894892454
478,-0.979827344,-0.890966535
480,-0.978386641,-0.889066398
482,-0.979462504,-0.89387548
485,-0.98003304,-0.894287348
490,-0.98006767,-0.891124964
491,-0.97996676,-0.893454969
492,-0.980342627,-0.891220212
494,-0.98124063,-0.897539258
498,-0.978370905,-0.894730091
499,-0.98190856,-0.89143157
501,-0.981716633,-0.895406127
502,-0.979211509,-0.894324601
503,-0.980234802,-0.897112429
506,-0.980349422,-0.89970839
508,-0.980462134,-0.896122754
509,-0.980705321,-0.897848129
510,-0.98061502,-0.895816982
513,-0.979770362,-0.899433374
516,-0.980230451,-0.897448063
517,-0.980200052,-0.895247817
518,-0.981056571,-0.895162523
521,-0.981478095,-0.901193976
522,-0.979838431,-0.897925735
525,-0.978962958,-0.901575744
526,-0.979097009,-0.901093364
528,-0.979893565,-0.898542285
530,-0.980209947,-0.897520721
532,-0.980583549,-0.9006989
533,-0.981174648,-0.901347876
534,-0.980035663,-0.902256966
537,-0.979468167,-0.904262781
539,-0.97943151,-0.902631879
540,-0.980837584,-0.90075767
541,-0.979408145,-0.900917888
544,-0.97893703,-0.902206898
545,-0.98118186,-0.901752412
548,-0.980804205,-0.90165174
549,-0.979849994,-0.903981268
551,-0.98117274,-0.905963421
552,-0.978720069,-0.902647614
553,-0.980782688,-0.907488585
555,-0.980859876,-0.903446555
556,-0.979662061,-0.906517386
557,-0.98112011,-0.902738333
558,-0.979979157,-0.906553864
560,-0.979507446,-0.903312325
562,-0.980316043,-0.9071877
563,-0.979782641,-0.905153036
564,-0.980142236,-0.907949209
568,-0.979268312,-0.906322896
570,-0.980369568,-0.909790754
572,-0.981748343,-0.904287279
575,-0.980658889,-0.904433727
577,-0.980525017,-0.907553375
580,-0.981177568,-0.904352784
582,-0.981060028,-0.905075192
584,-0.97914654,-0.908798397
586,-0.979957461,-0.909038365
588,-0.977934599,-0.910293102
591,-0.980657697,-0.906954169
594,-0.978361905,-0.90913713
596,-0.979914784,-0.906427979
598,-0.978960276,-0.90598166
599,-0.980116129,-0.909368813
600,-0.978390574,-0.908609807
601,-0.979978085,-0.90978539
603,-0.980268955,-0.906547725
607,-0.981603026,-0.905959725
611,-0.980337143,-0.910936356
612,-0.979577482,-0.909913182
617,-0.980176687,-0.910792112
620,-0.978971124,-0.911120892
621,-0.979358792,-0.910848022
622,-0.979847789,-0.909400702
623,-0.980295181,-0.91127193
624,-0.978261113,-0.914334536
625,-0.981194973,-0.913687944
626,-0.980410039,-0.90929389
627,-0.978956103,-0.911454916
628,-0.97946614,-0.91119647
629,-0.980906904,-0.912828207
630,-0.979195595,-0.912876785
631,-0.980179548,-0.913038731
633,-0.980296612,-0.912009478
635,-0.980340064,-0.913875997
637,-0.980892062,-0.915868282
638,-0.98104614,-0.91278255
639,-0.978566229,-0.913934171
642,-0.980857432,-0.913136125
644,-0.978411376,-0.914537668
646,-0.979765058,-0.912614346
647,-0.98019278,-0.913680434
648,-0.980825663,-0.913833082
649,-0.979549468,-0.916291356
650,-0.980825543,-0.913075864
651,-0.980815291,-0.914479256
653,-0.979128957,-0.91703546
657,-0.980723262,-0.914554298
660,-0.981943846,-0.917058706
661,-0.980226398,-0.914489686
664,-0.979640245,-0.914000273
666,-0.980995774,-0.917216778
668,-0.980534792,-0.914150596
672,-0.981519759,-0.916041195
676,-0.980496347,-0.913060069
677,-0.979973912,-0.915291369
678,-0.97997427,-0.915642619
680,-0.981626511,-0.916886985
683,-0.978288352,-0.916481793
685,-0.978557408,-0.917980611
688,-0.981433511,-0.917820513
689,-0.981078207,-0.915549874
690,-0.98200202,-0.916043103
691,-0.979486167,-0.919083893
695,-0.979948521,-0.916789889
698,-0.979390442,-0.918662906
700,-0.980255127,-0.915650547
701,-0.979538798,-0.91695714
702,-0.979605675,-0.917501092
703,-0.980332851,-0.917096436
705,-0.980529547,-0.919329286
707,-0.980132699,-0.92012918
708,-0.980760276,-0.919144869
709,-0.980618954,-0.918202519
713,-0.980750084,-0.918714345
714,-0.981771231,-0.915337205
716,-0.982842922,-0.920726418
717,-0.979298532,-0.913312912
718,-0.980546713,-0.916942358
720,-0.981487334,-0.91863215
722,-0.981270015,-0.919196725
723,-0.978785992,-0.918795824
724,-0.981389403,-0.91957885
727,-0.981210649,-0.919728637
728,-0.980713725,-0.921622157
729,-0.980080366,-0.919318438
730,-0.980968952,-0.92073667
731,-0.98210597,-0.923996627
734,-0.978508174,-0.922060668
735,-0.980478644,-0.922149241
736,-0.980831861,-0.917774737
738,-0.98015964,-0.918546557
739,-0.98133862,-0.918792963
740,-0.980239749,-0.920921683
743,-0.980546594,-0.920263529
744,-0.980939388,-0.916142106
746,-0.982089758,-0.921140194
749,-0.979939461,-0.921260357
751,-0.982433379,-0.922531247
753,-0.978914022,-0.919827342
754,-0.982569218,-0.923212647
756,-0.979661822,-0.922266006
757,-0.980756342,-0.920854628
758,-0.981698215,-0.920648694
759,-0.981048405,-0.92268014
764,-0.98154676,-0.926255226
765,-0.980888844,-0.92259419
766,-0.980836153,-0.920208812
767,-0.980280936,-0.92221874
769,-0.980116248,-0.923019171
770,-0.980668008,-0.925748587
771,-0.979959726,-0.922316074
772,-0.980035305,-0.924696207
773,-0.980499506,-0.92371124
